Element,Symbol,Z,AtomicMass
Hydrogen,H,1,1.00794
Helium,He,2,4.002602
Lithium,Li,3,6.941
Beryllium,Be,4,9.012182
Boron,B,5,10.811
Carbon,C,6,12.0107
Nitrogen,N,7,14.0067
Oxygen,O,8,15.9994
Fluorine,F,9,18.9984032
Neon,Ne,10,20.1797
Sodium,Na,11,22.98977
Magnesium,Mg,12,24.305
Aluminum,Al,13,26.981538
Silicon,Si,14,28.0855
Phosphorus,P,15,30.973761
Sulfur,S,16,32.065
Chlorine,Cl,17,35.453
Argon,Ar,18,39.948
Potassium,K,19,39.0983
Calcium,Ca,20,40.078
Scandium,Sc,21,44.95591
Titanium,Ti,22,47.867
Vanadium,V,23,50.9415
Chromium,Cr,24,51.9961
Manganese,Mn,25,54.938049
Iron,Fe,26,55.845
Cobalt,Co,27,58.9332
Nickel,Ni,28,58.6934
Copper,Cu,29,63.546
Zinc,Zn,30,65.409
Gallium,Ga,31,69.723
Germanium,Ge,32,72.64
Arsenic,As,33,74.9216
Selenium,Se,34,78.96
Bromine,Br,35,79.904
Krypton,Kr,36,83.798
Rubidium,Rb,37,85.4678
Strontium,Sr,38,87.62
Yttrium,Y,39,88.90585
Zirconium,Zr,40,91.224
Niobium,Nb,41,92.90638
Molybdenum,Mo,42,95.94
Technetium,Tc,43,97.9072
Ruthenium,Ru,44,101.07
Rhodium,Rh,45,102.9055
Palladium,Pd,46,106.42
Silver,Ag,47,107.8682
Cadmium,Cd,48,112.411
Indium,In,49,114.818
Tin,Sn,50,118.71
Antimony,Sb,51,121.76
Tellurium,Te,52,127.6
Iodine,I,53,126.90447
Xenon,Xe,54,131.293
Cesium,Cs,55,132.90545
Barium,Ba,56,137.327
Lanthanum,La,57,138.9055
Cerium,Ce,58,140.116
Praseodymium,Pr,59,140.90765
Neodymium,Nd,60,144.24
Promethium,Pm,61,144.9127
Samarium,Sm,62,150.36
Europium,Eu,63,151.964
Gadolinium,Gd,64,157.25
Terbium,Tb,65,158.92534
Dysprosium,Dy,66,162.5
Holmium,Ho,67,164.93032
Erbium,Er,68,167.259
Thulium,Tm,69,168.93421
Ytterbium,Yb,70,173.04
Lutetium,Lu,71,174.967
Hafnium,Hf,72,178.49
Tantalum,Ta,73,180.9479
Tungsten,W,74,183.84
Rhenium,Re,75,186.207
Osmium,Os,76,190.23
Iridium,Ir,77,192.217
Platinum,Pt,78,195.078
Gold,Au,79,196.96655
Mercury,Hg,80,200.59
Thallium,Tl,81,204.3833
Lead,Pb,82,207.2
Bismuth,Bi,83,208.98038
Polonium,Po,84,208.9824
Astatine,At,85,209.9871
Radon,Rn,86,222.0176
Francium,Fr,87,223.0197
Radium,Ra,88,226.0254
Actinium,Ac,89,227.0277
Thorium,Th,90,232.0381
Protactinium,Pa,91,231.03588
Uranium,U,92,238.02891
Neptunium,Np,93,237.0482
Plutonium,Pu,94,244.0642
Americium,Am,95,243.0614
Curium,Cm,96,247.0704
Berkelium,Bk,97,247.0703
Californium,Cf,98,251.0796
Einsteinium,Es,99,252.083
Fermium,Fm,100,257.0951
Mendelevium,Md,101,258.0984
Nobelium,No,102,259.101
Lawrencium,Lr,103,262.1097
Rutherfordium,Rf,104,261.1088
Dubnium,Db,105,262.1141
Seaborgium,Sg,106,266.1219
Bohrium,Bh,107,264.12
Hassium,Hs,108,277
Meitnerium,Mt,109,268.1388
Darmstadtium,Ds,110,281
Roentgenium,Rg,111,281
Copernicium,Cn,112,285
Nihonium,Nh,113,286
Flerovium,Fl,114,289
Moscovium,Mc,115,289
Livermorium,Lv,116,293
Tennessine,Ts,117,294
Oganesson,Og,118,294
